Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"openBrowser("""")",Chrome 147.0.7727.138,,,03-05-2026 16:40:31,03-05-2026 16:40:33,1.505s,PASSED
"navigateToUrl(baseUrl + ""/login.php"")",Chrome 147.0.7727.138,,,03-05-2026 16:40:33,03-05-2026 16:40:35,2.150s,PASSED
maximizeWindow(),Chrome 147.0.7727.138,,,03-05-2026 16:40:35,03-05-2026 16:40:35,0.138s,PASSED
"setText(findTestObject(""Page_Login/input_email""), validEmail)",Chrome 147.0.7727.138,,,03-05-2026 16:40:35,03-05-2026 16:40:36,0.848s,PASSED
"setText(findTestObject(""Page_Login/input_password""), validPassword)",Chrome 147.0.7727.138,,,03-05-2026 16:40:36,03-05-2026 16:40:37,0.744s,PASSED
"click(findTestObject(""Page_Login/btn_login""))",Chrome 147.0.7727.138,,,03-05-2026 16:40:37,03-05-2026 16:40:39,2.145s,PASSED
delay(2),Chrome 147.0.7727.138,,,03-05-2026 16:40:39,03-05-2026 16:40:41,2.019s,PASSED
"navigateToUrl(baseUrl + ""/index.php"")",Chrome 147.0.7727.138,,,03-05-2026 16:40:41,03-05-2026 16:40:41,0.345s,PASSED
delay(2),Chrome 147.0.7727.138,,,03-05-2026 16:40:41,03-05-2026 16:40:43,2.011s,PASSED
"click(findTestObject(""Page_Beranda/btn_add_cart_1""))",Chrome 147.0.7727.138,,,03-05-2026 16:40:43,03-05-2026 16:40:44,0.388s,PASSED
delay(1),Chrome 147.0.7727.138,,,03-05-2026 16:40:44,03-05-2026 16:40:45,1.008s,PASSED
"navigateToUrl(baseUrl + ""/checkout.php"")",Chrome 147.0.7727.138,,,03-05-2026 16:40:45,03-05-2026 16:40:45,0.358s,PASSED
delay(2),Chrome 147.0.7727.138,,,03-05-2026 16:40:45,03-05-2026 16:40:47,2.010s,PASSED
"setText(findTestObject(""Page_Checkout/textarea_alamat_pengiriman""), ""Jl. Merdeka No.1 Jakarta"")",Chrome 147.0.7727.138,,,03-05-2026 16:40:47,03-05-2026 16:40:48,0.765s,PASSED
"click(findTestObject(""Page_Checkout/btn_checkout""))",Chrome 147.0.7727.138,,,03-05-2026 16:40:48,03-05-2026 16:40:48,0.379s,PASSED
delay(1),Chrome 147.0.7727.138,,,03-05-2026 16:40:48,03-05-2026 16:40:49,1.009s,PASSED
"verifyMatch(getUrl(), "".*checkout.php.*"", true)",Chrome 147.0.7727.138,,,03-05-2026 16:40:49,03-05-2026 16:40:49,0.020s,PASSED
closeBrowser(),Chrome 147.0.7727.138,,,03-05-2026 16:40:49,03-05-2026 16:40:49,0.258s,PASSED
,,,,,,,
Test Cases/TC_Checkout/TC_CHK_004_Checkout_Keranjang_Kosong,Chrome 147.0.7727.138,,,03-05-2026 16:40:49,03-05-2026 16:41:05,15.428s,PASSED
"openBrowser("""")",Chrome 147.0.7727.138,,,03-05-2026 16:40:50,03-05-2026 16:40:51,1.485s,PASSED
"navigateToUrl(baseUrl + ""/login.php"")",Chrome 147.0.7727.138,,,03-05-2026 16:40:51,03-05-2026 16:40:54,2.592s,PASSED
maximizeWindow(),Chrome 147.0.7727.138,,,03-05-2026 16:40:54,03-05-2026 16:40:54,0.032s,PASSED
"setText(findTestObject(""Page_Login/input_email""), validEmail)",Chrome 147.0.7727.138,,,03-05-2026 16:40:54,03-05-2026 16:40:54,0.798s,PASSED
"setText(findTestObject(""Page_Login/input_password""), validPassword)",Chrome 147.0.7727.138,,,03-05-2026 16:40:54,03-05-2026 16:40:55,0.840s,PASSED
"click(findTestObject(""Page_Login/btn_login""))",Chrome 147.0.7727.138,,,03-05-2026 16:40:55,03-05-2026 16:40:57,1.865s,PASSED
delay(2),Chrome 147.0.7727.138,,,03-05-2026 16:40:57,03-05-2026 16:40:59,2.017s,PASSED
driver = getWebDriver(),Chrome 147.0.7727.138,,,03-05-2026 16:40:59,03-05-2026 16:40:59,0.009s,PASSED
"executeJavaScript(""localStorage.removeItem('sqa_cart')"", null)",Chrome 147.0.7727.138,,,03-05-2026 16:40:59,03-05-2026 16:40:59,0.028s,PASSED
"navigateToUrl(baseUrl + ""/checkout.php"")",Chrome 147.0.7727.138,,,03-05-2026 16:40:59,03-05-2026 16:41:00,0.313s,PASSED
delay(2),Chrome 147.0.7727.138,,,03-05-2026 16:41:00,03-05-2026 16:41:02,2.004s,PASSED
"setText(findTestObject(""Page_Checkout/textarea_alamat_pengiriman""), ""Jl. Test Alamat Panjang"")",Chrome 147.0.7727.138,,,03-05-2026 16:41:02,03-05-2026 16:41:02,0.754s,PASSED
"selectOptionByValue(findTestObject(""Page_Checkout/select_metode_pembayaran""), ""transfer_bank"", true)",Chrome 147.0.7727.138,,,03-05-2026 16:41:02,03-05-2026 16:41:03,0.919s,PASSED
"click(findTestObject(""Page_Checkout/btn_checkout""))",Chrome 147.0.7727.138,,,03-05-2026 16:41:03,03-05-2026 16:41:04,0.397s,PASSED
delay(1),Chrome 147.0.7727.138,,,03-05-2026 16:41:04,03-05-2026 16:41:05,1.013s,PASSED
"verifyMatch(getUrl(), "".*checkout.php.*"", true)",Chrome 147.0.7727.138,,,03-05-2026 16:41:05,03-05-2026 16:41:05,0.013s,PASSED
closeBrowser(),Chrome 147.0.7727.138,,,03-05-2026 16:41:05,03-05-2026 16:41:05,0.245s,PASSED
,,,,,,,
Test Cases/TC_Checkout/TC_CHK_005_Checkout_COD,Chrome 147.0.7727.138,,,03-05-2026 16:41:05,03-05-2026 16:41:31,25.898s,PASSED
"openBrowser("""")",Chrome 147.0.7727.138,,,03-05-2026 16:41:05,03-05-2026 16:41:07,1.521s,PASSED
"navigateToUrl(baseUrl + ""/login.php"")",Chrome 147.0.7727.138,,,03-05-2026 16:41:07,03-05-2026 16:41:11,4.857s,PASSED
maximizeWindow(),Chrome 147.0.7727.138,,,03-05-2026 16:41:11,03-05-2026 16:41:11,0.051s,PASSED
"setText(findTestObject(""Page_Login/input_email""), validEmail)",Chrome 147.0.7727.138,,,03-05-2026 16:41:11,03-05-2026 16:41:12,0.796s,PASSED
"setText(findTestObject(""Page_Login/input_password""), validPassword)",Chrome 147.0.7727.138,,,03-05-2026 16:41:12,03-05-2026 16:41:13,0.741s,PASSED
"click(findTestObject(""Page_Login/btn_login""))",Chrome 147.0.7727.138,,,03-05-2026 16:41:13,03-05-2026 16:41:15,2.360s,PASSED
delay(2),Chrome 147.0.7727.138,,,03-05-2026 16:41:15,03-05-2026 16:41:17,2.012s,PASSED
"navigateToUrl(baseUrl + ""/index.php"")",Chrome 147.0.7727.138,,,03-05-2026 16:41:17,03-05-2026 16:41:18,0.364s,PASSED
delay(2),Chrome 147.0.7727.138,,,03-05-2026 16:41:18,03-05-2026 16:41:20,2.011s,PASSED
"click(findTestObject(""Page_Beranda/btn_add_cart_2""))",Chrome 147.0.7727.138,,,03-05-2026 16:41:20,03-05-2026 16:41:20,0.432s,PASSED
delay(1),Chrome 147.0.7727.138,,,03-05-2026 16:41:20,03-05-2026 16:41:21,1.014s,PASSED
"click(findTestObject(""Page_Beranda/btn_add_cart_2""))",Chrome 147.0.7727.138,,,03-05-2026 16:41:21,03-05-2026 16:41:22,0.386s,PASSED
delay(1),Chrome 147.0.7727.138,,,03-05-2026 16:41:22,03-05-2026 16:41:23,1.011s,PASSED
"navigateToUrl(baseUrl + ""/checkout.php"")",Chrome 147.0.7727.138,,,03-05-2026 16:41:23,03-05-2026 16:41:23,0.311s,PASSED
delay(2),Chrome 147.0.7727.138,,,03-05-2026 16:41:23,03-05-2026 16:41:25,2.004s,PASSED
"setText(findTestObject(""Page_Checkout/textarea_alamat_pengiriman""), ""Jl. Test No.5"")",Chrome 147.0.7727.138,,,03-05-2026 16:41:25,03-05-2026 16:41:26,0.739s,PASSED
"selectOptionByValue(findTestObject(""Page_Checkout/select_metode_pembayaran""), ""cod"", true)",Chrome 147.0.7727.138,,,03-05-2026 16:41:26,03-05-2026 16:41:27,0.934s,PASSED
"click(findTestObject(""Page_Checkout/btn_checkout""))",Chrome 147.0.7727.138,,,03-05-2026 16:41:27,03-05-2026 16:41:28,0.973s,PASSED
delay(3),Chrome 147.0.7727.138,,,03-05-2026 16:41:28,03-05-2026 16:41:31,3.019s,PASSED
"verifyMatch(getUrl(), "".*riwayat.php.*"", true)",Chrome 147.0.7727.138,,,03-05-2026 16:41:31,03-05-2026 16:41:31,0.010s,PASSED
closeBrowser(),Chrome 147.0.7727.138,,,03-05-2026 16:41:31,03-05-2026 16:41:31,0.265s,PASSED
,,,,,,,
Test Cases/TC_Checkout/TC_CHK_006_Checkout_EWallet,Chrome 147.0.7727.138,,,03-05-2026 16:41:31,03-05-2026 16:41:53,22.468s,PASSED
"openBrowser("""")",Chrome 147.0.7727.138,,,03-05-2026 16:41:31,03-05-2026 16:41:32,1.432s,PASSED
"navigateToUrl(baseUrl + ""/login.php"")",Chrome 147.0.7727.138,,,03-05-2026 16:41:32,03-05-2026 16:41:35,2.962s,PASSED
maximizeWindow(),Chrome 147.0.7727.138,,,03-05-2026 16:41:35,03-05-2026 16:41:35,0.038s,PASSED
"setText(findTestObject(""Page_Login/input_email""), validEmail)",Chrome 147.0.7727.138,,,03-05-2026 16:41:35,03-05-2026 16:41:36,0.802s,PASSED
"setText(findTestObject(""Page_Login/input_password""), validPassword)",Chrome 147.0.7727.138,,,03-05-2026 16:41:36,03-05-2026 16:41:37,0.704s,PASSED
"click(findTestObject(""Page_Login/btn_login""))",Chrome 147.0.7727.138,,,03-05-2026 16:41:37,03-05-2026 16:41:39,2.241s,PASSED
delay(2),Chrome 147.0.7727.138,,,03-05-2026 16:41:39,03-05-2026 16:41:41,2.015s,PASSED
"navigateToUrl(baseUrl + ""/index.php"")",Chrome 147.0.7727.138,,,03-05-2026 16:41:41,03-05-2026 16:41:41,0.377s,PASSED
delay(2),Chrome 147.0.7727.138,,,03-05-2026 16:41:41,03-05-2026 16:41:43,2.015s,PASSED
"click(findTestObject(""Page_Beranda/btn_add_cart_5""))",Chrome 147.0.7727.138,,,03-05-2026 16:41:43,03-05-2026 16:41:44,0.417s,PASSED
delay(1),Chrome 147.0.7727.138,,,03-05-2026 16:41:44,03-05-2026 16:41:45,1.005s,PASSED
